Rank,Pos,Number,Inactive,Rookie,Name,Team,GP,G,A,PTS,PM,PIM,PPG
215,RW,11,,*,"Bakanov, Andrei",GUE,55,11,12,23,-19,14,2
216,LW,19,,,"Isaacson, Nick",MISS,59,10,13,23,2,49,1
217,D,58,,,"Beraldo, Adrien",NIAG,50,5,18,23,-32,63,2
218,C,10,,,"Tolnai, Cameron",OTT,52,8,14,22,8,18,1
219,LW,26,,*,"Jackson, Kyle",NB,62,8,14,22,-24,6,1
220,D,75,,,"Penman, Duncan",MISS,61,10,11,21,17,29,1
221,RW,5,,,"Pierce, Emmet",FLNT,55,6,15,21,12,19,1
222,D,42,,,"Supryka, Cameron",HAM,53,3,18,21,1,46,1
223,D,77,,,"Webb, Reilly",SAG,50,2,19,21,18,58,0
224,D,2,,,"Wilson, Hudson",PBO,58,1,20,21,26,36,0
225,D,6,,,"Maier, David",PBO,44,0,21,21,-2,18,0
226,LW,74,,,"Porco, Nicholas",BAR,50,9,11,20,-20,25,3
227,C,21,,,"Portokalis, William",MISS,61,9,11,20,-1,12,0
228,LW,15,,,"Mutter, Navrin",HAM,60,8,12,20,-15,107,0
229,LW,13,,*,"Arcuri, Francesco",KGN,60,7,13,20,-24,14,1
230,D,20,,,"Wainman, Josh",GUE,60,6,14,20,16,38,1
231,C,10,,*,"Samanski, Joshua",OS,54,4,16,20,3,20,0
232,C,11,,*,"Arnsby, Liam",NB,55,4,16,20,-25,63,0
233,RW,25,,,"McDonald, Kyle",WSR,52,13,6,19,-7,20,0
234,C,19,,,"Primeau, Mason",NB,45,11,8,19,-36,33,4
235,RW,29,,*,"Burroughs, Ethan",OS,53,8,11,19,14,6,1
236,D,41,,,"Henry, Kurtis",ER,62,8,11,19,0,71,1
237,LW,19,,*,"Beck, Jack",OTT,56,7,12,19,7,16,0
238,C,13,,*,"Cohen, Elias",ER,57,7,12,19,-10,13,0
239,C,20,,,"Langdon, Isaac",KIT,53,5,14,19,-4,9,0
240,D,7,,,"Rose, Simon",NB,51,4,15,19,-25,50,2
241,D,10,,,"Wale, Holden",KIT,59,4,15,19,5,17,0
242,D,77,,,"Betts, Dakota",NIAG,63,4,15,19,-33,52,1
243,D,28,,,"Okhotyuk, Nikita",OTT,39,3,16,19,30,35,0
244,D,88,,*,"Bjorgvik-Holm, Ole",MISS,57,2,17,19,-2,47,0
245,D,5,,,"Paquette, Jacob",PBO,59,1,18,19,25,37,0
246,C,13,,*,"Kressler, Braeden",FLNT,46,9,9,18,16,18,0
247,RW,22,,*,"Robertson, Tucker",PBO,55,8,10,18,1,20,0
248,D,95,,,"Nolet, Justin",SAR,51,6,12,18,6,10,1
249,LW,14,,*,"Diaco, George",HAM,55,6,12,18,2,18,2
250,D,34,,,"Duff, Jack",ER,63,4,14,18,18,77,0
251,D,44,,,"Peric, Lucas",KGN,58,3,15,18,-34,82,3
252,D,3,,,"Ladd, Grayson",WSR,53,2,16,18,8,6,0
253,D,5,,*,"Robinson, Dylan",WSR,55,2,16,18,13,52,1
254,D,65,,,"MacPherson, Justin",KIT,63,2,16,18,25,40,0
255,RW,92,,,"Clarke, Graeme",OTT,16,9,8,17,15,6,3
256,D,8,,,"Xhekaj, Arber",KIT,51,6,11,17,26,88,0
257,D,72,,,"King, DJ",SAG,54,5,12,17,18,78,0
258,D,12,,,"York, Jack",PBO,56,4,13,17,-6,37,0
259,D,5,,,"Samuelsson, Adam",SBY,43,3,14,17,3,49,0
